Server_ID,Timestamp,Server_Type,Operating_System,CPU_Usage,Memory_Usage,Disk_Usage,Disk_IO,Network_In_Mbps,Network_Out_Mbps,Network_Latency_ms,Response_Time_ms,Active_Connections,Request_Count,Error_Count,Process_Count,Uptime_Hours,Temperature_C,Day_of_Week,Hour,Performance_Issue
SRV-046,01-01-2026 18:00,File,Linux,67.96,49.58,58.5,50.4,1610.55,1225.02,23.16,267.68,677,8291,8,312,618.7,46.88,Thursday,18,0
SRV-082,01-01-2026 18:30,Database,Windows Server,73.04,42.74,39.23,52.3,1495.67,1044.36,27.98,285.43,543,7437,7,241,971.4,53.23,Thursday,18,0
SRV-014,01-01-2026 18:30,File,Linux,57.06,49.13,51.66,57.79,1082.29,911.4,20.59,279.26,729,5939,11,241,610.41,54.24,Thursday,18,0
SRV-087,01-01-2026 19:00,Application,Linux,70.6,54.45,27.4,62.67,1330.81,1021.29,23.34,345.46,747,6992,10,282,601.28,51.58,Thursday,19,0
SRV-076,01-01-2026 19:00,Web,Linux,67.62,36.05,57.59,59.74,1398.17,991.75,24.39,289.22,888,6938,9,248,1221.2,57.89,Thursday,19,0
SRV-045,01-01-2026 19:30,File,Linux,60.84,79.75,44.02,33.73,1050.81,806.35,16.82,290.63,364,5754,6,281,352.79,51.44,Thursday,19,0
SRV-016,01-01-2026 20:00,Web,Windows Server,62.69,52.93,49.05,50.81,1396.8,1077.4,17.15,327.31,353,7199,8,237,1052.48,48.29,Thursday,20,0
SRV-017,01-01-2026 21:30,Application,Windows Server,76.79,59.77,37.35,58.51,1311.65,1012.99,35.77,306.15,600,6754,10,276,829.7,56.84,Thursday,21,0
SRV-045,01-01-2026 22:00,File,Linux,50.35,49.51,72.45,58.52,1005.85,829.7,24.74,306.12,604,5864,6,203,852.23,48.76,Thursday,22,0
SRV-095,01-01-2026 22:30,Database,Linux,58.89,69.76,69.18,85.36,1414.62,1011.82,21.94,341.29,846,7486,12,261,769.16,56.4,Thursday,22,0
SRV-005,02-01-2026 00:30,Web,Windows Server,89.32,57.08,40.72,53.95,1450.4,1072.15,32.1,441.2,742,7025,14,226,766.66,60.08,Friday,0,1
SRV-087,02-01-2026 02:00,Application,Linux,51.13,56.5,67.75,74.61,1299.02,1121.01,22.19,302.16,637,6902,9,339,774.08,54.33,Friday,2,0
SRV-042,02-01-2026 02:00,File,Linux,31.71,60.54,57.76,35.47,1117.68,815.06,18.15,165.97,538,5913,4,209,965.59,48.5,Friday,2,0
SRV-001,02-01-2026 02:30,File,Windows Server,75.08,62.0,48.93,60.63,1182.65,882.37,28.3,292.01,615,5865,12,313,946.53,59.35,Friday,2,0
SRV-041,02-01-2026 03:00,Database,Linux,65.98,58.98,45.98,85.62,1434.77,1074.13,23.46,299.65,890,7396,3,280,408.46,53.65,Friday,3,0
SRV-024,02-01-2026 04:30,API,Linux,72.98,56.87,48.52,71.0,1410.22,1087.37,26.78,334.79,626,7223,14,309,967.29,56.375,Friday,4,0
SRV-014,02-01-2026 05:00,File,Linux,67.43,45.29,52.47,52.72,1160.69,824.92,29.16,256.67,871,5796,9,315,202.93,54.06,Friday,5,0
SRV-096,02-01-2026 05:30,Application,Linux,60.79,39.14,79.43,42.51,1289.32,1026.51,29.92,269.56,600,6773,5,233,843.17,57.97,Friday,5,0
SRV-090,02-01-2026 06:30,Application,Linux,57.27,53.9,61.24,68.71,1279.27,1088.34,17.99,228.98,739,6955,10,196,640.85,58.33,Friday,6,0
SRV-031,02-01-2026 06:30,Application,Linux,66.8,49.52,57.61,66.7,1372.15,931.99,23.61,370.59,755,6773,9,250,597.42,54.42,Friday,6,0
SRV-017,02-01-2026 07:30,Application,Windows Server,69.02,76.02,41.51,52.79,1149.57,1089.86,18.08,255.34,461,6920,12,256,865.0,51.73,Friday,7,0
SRV-091,02-01-2026 08:00,Web,Windows Server,77.15,83.52,62.77,68.54,1310.08,997.54,22.41,326.03,516,7010,13,222,266.66,63.13,Friday,8,0
SRV-063,02-01-2026 08:00,Application,Linux,59.06,58.13,52.57,70.94,1299.6,1036.85,23.91,271.92,641,6861,10,303,543.53,55.22,Friday,8,0
SRV-004,02-01-2026 08:30,Application,Windows Server,71.96,61.92,45.86,28.67,1361.16,993.15,25.06,284.2,664,6812,6,277,574.13,60.69,Friday,8,0
SRV-019,02-01-2026 10:00,File,Linux,73.06,66.37,43.29,74.06,1615.73,1293.85,17.88,311.08,698,8275,11,266,478.56,63.79,Friday,10,0
SRV-014,02-01-2026 10:30,File,Linux,60.48,72.08,51.53,73.15,1661.03,1263.99,29.74,285.98,932,8231,13,244,474.2,59.98,Friday,10,0
SRV-072,02-01-2026 14:30,Database,Linux,95.98,73.95,42.71,99.0,2178.68,1607.89,30.91,409.39,1282,11061,5,267,655.78,65.92,Friday,14,1
SRV-074,02-01-2026 16:00,Web,Windows Server,96.77,77.72,61.57,59.46,2056.24,1502.35,35.09,337.63,1128,10183,16,347,398.36,58.49,Friday,16,0
SRV-036,02-01-2026 16:30,Web,Linux,92.51,74.64,59.47,78.08,2036.8,1471.66,26.76,358.0,1110,10277,12,290,456.47,65.13,Friday,16,0
SRV-079,02-01-2026 17:30,Application,Windows Server,86.98,72.93,46.99,96.67,2025.99,1415.79,36.79,348.24,923,10159,14,363,1177.89,63.46,Friday,17,0
SRV-074,02-01-2026 17:30,Web,Windows Server,99.0,84.85,51.79,87.03,2103.77,1613.85,33.58,378.31,753,10424,13,275,403.42,69.37,Friday,17,1
SRV-074,02-01-2026 19:30,Web,Windows Server,77.77,45.03,69.37,66.9,1306.82,1078.16,16.0,256.16,473,6974,11,258,700.71,50.33,Friday,19,0
SRV-040,02-01-2026 20:00,Application,Linux,54.55,42.0,39.96,33.89,1241.56,972.48,29.61,326.83,541,6727,7,273,701.28,50.52,Friday,20,0
SRV-037,02-01-2026 22:30,Web,Windows Server,61.12,69.29,73.52,55.54,1416.52,1057.29,28.36,273.61,804,7044,6,228,433.72,53.21,Friday,22,0
SRV-064,03-01-2026 00:30,File,Linux,59.37,62.27,61.73,38.77,989.88,773.51,17.78,280.19,423,5001,9,253,180.78,60.59,Saturday,0,0
SRV-037,03-01-2026 01:30,Web,Windows Server,87.94,47.82,55.8,43.66,1079.4,980.04,12.63,302.16,416,5857,8,274,687.97,62.91,Saturday,1,0
SRV-046,03-01-2026 03:00,File,Linux,66.94,65.96,41.13,29.84,942.63,719.12,22.09,297.56,306,5048,6,316,823.25,50.55,Saturday,3,0
SRV-090,03-01-2026 03:00,Application,Linux,57.68,50.49,70.32,55.32,1058.34,836.24,23.89,321.61,542,5662,7,207,818.29,51.36,Saturday,3,0
SRV-099,03-01-2026 04:00,Web,Linux,62.38,42.77,58.41,53.66,1125.9,871.93,23.73,311.44,487,5920,15,197,554.15,52.41,Saturday,4,0
SRV-093,03-01-2026 04:30,Database,Linux,79.39,48.7,63.68,62.27,1138.77,904.21,22.13,262.61,504,5994,10,298,443.4,54.55,Saturday,4,0
SRV-068,03-01-2026 05:00,Database,Windows Server,50.21,58.26,45.47,46.38,1119.57,921.9,13.86,255.32,581,6171,3,210,394.72,48.21,Saturday,5,0
SRV-006,03-01-2026 06:00,API,Windows Server,50.59,53.63,54.62,59.52,1167.2,845.71,29.46,228.95,513,5976,10,248,2464.72,49.44,Saturday,6,0
SRV-096,03-01-2026 06:30,Application,Linux,48.18,49.61,57.85,49.39,1129.2,793.52,24.66,332.9,416,5747,7,212,461.33,50.48,Saturday,6,0
SRV-070,03-01-2026 07:00,Database,Windows Server,50.62,65.44,68.24,36.18,1153.42,865.15,17.6,254.68,503,6128,6,176,826.7,52.34,Saturday,7,0
SRV-011,03-01-2026 08:00,Database,Linux,62.89,49.06,63.76,41.45,1227.47,894.3,14.0,301.73,516,6147,12,228,757.19,53.83,Saturday,8,0
SRV-039,03-01-2026 10:00,Web,Windows Server,62.14,69.07,52.69,60.23,1563.96,1081.88,21.79,302.16,362,8099,19,212,732.87,55.27,Saturday,10,0
SRV-073,03-01-2026 12:30,API,Linux,67.57,61.39,50.48,64.05,1692.41,1203.3,24.68,295.89,878,8332,13,237,1197.94,47.3,Saturday,12,0
SRV-064,03-01-2026 13:00,File,Linux,73.94,58.04,45.75,63.29,1248.2,1008.37,28.05,337.46,790,6684,7,295,864.47,66.16,Saturday,13,0
SRV-023,03-01-2026 13:00,API,Linux,73.88,71.79,53.03,79.51,1778.92,1261.02,25.92,329.23,880,8340,11,305,2075.1,57.17,Saturday,13,0
SRV-044,03-01-2026 14:00,Database,Linux,62.54,65.9,47.63,54.21,1742.72,1235.95,24.5,327.49,718,8652,17,269,362.05,59.88,Saturday,14,0
SRV-032,03-01-2026 14:30,API,Windows Server,68.98,55.02,70.37,61.25,1647.78,1285.58,19.78,254.35,680,8440,8,257,439.93,60.64,Saturday,14,0
SRV-053,03-01-2026 14:30,File,Linux,72.26,53.5,50.88,52.97,1313.15,964.15,24.39,216.58,715,6718,8,194,1268.93,58.62,Saturday,14,0
SRV-050,03-01-2026 16:30,Web,Linux,56.81,72.24,51.59,24.55,1676.01,1279.25,25.65,234.23,829,8129,4,288,512.25,48.28,Saturday,16,0
SRV-033,03-01-2026 18:30,Database,Linux,47.57,67.48,47.55,45.86,1203.57,930.6,17.91,236.81,712,6182,12,252,591.84,50.63,Saturday,18,0
SRV-088,03-01-2026 18:30,Database,Linux,66.41,60.59,52.63,58.69,1137.3,880.9,20.45,276.18,692,6085,11,225,548.69,57.01,Saturday,18,0
SRV-097,03-01-2026 18:30,Database,Linux,54.79,59.51,45.66,53.08,1174.57,968.89,19.01,256.6,434,6232,7,298,630.48,45.98,Saturday,18,0
SRV-090,03-01-2026 19:00,Application,Linux,52.1,56.81,59.59,52.24,1043.97,847.33,10.68,233.79,302,5581,7,225,428.46,52.88,Saturday,19,0
SRV-022,03-01-2026 19:30,Database,Linux,53.14,70.54,68.37,40.77,1178.32,860.05,24.56,307.71,547,6226,12,268,641.36,48.16,Saturday,19,0
SRV-063,03-01-2026 21:00,Application,Linux,69.53,51.44,50.88,58.93,1141.74,791.33,22.26,273.06,440,5797,10,325,784.87,59.42,Saturday,21,0
SRV-029,03-01-2026 21:00,Web,Linux,55.59,72.56,65.6,68.11,1191.89,891.37,17.13,237.65,344,5960,11,165,885.62,51.7,Saturday,21,0
SRV-006,03-01-2026 21:00,API,Windows Server,47.36,51.62,50.36,22.15,1145.88,908.31,22.39,242.07,596,5868,8,220,1534.12,47.3,Saturday,21,0
SRV-045,03-01-2026 21:30,File,Linux,51.58,49.21,26.76,23.51,892.97,703.81,20.55,248.96,574,5033,7,215,876.24,48.85,Saturday,21,0
SRV-013,03-01-2026 21:30,Application,Linux,63.55,60.89,53.97,48.43,1124.65,844.26,22.02,297.25,711,5770,11,200,449.2,52.76,Saturday,21,0
SRV-074,03-01-2026 21:30,Web,Windows Server,68.71,56.82,58.46,32.78,1077.98,848.14,25.9,232.61,563,5837,9,253,387.89,51.22,Saturday,21,0
SRV-034,03-01-2026 22:30,Database,Linux,66.11,67.97,55.02,53.33,1140.82,851.65,30.59,296.68,798,6082,6,224,575.79,62.38,Saturday,22,0
SRV-076,03-01-2026 22:30,Web,Linux,65.82,37.07,59.75,39.07,1084.06,858.95,21.34,241.03,466,5893,5,239,595.87,53.22,Saturday,22,0
SRV-072,03-01-2026 23:30,Database,Linux,46.23,73.1,75.99,73.38,1195.34,912.25,23.52,307.5,675,6184,11,221,1204.92,53.02,Saturday,23,0
SRV-060,04-01-2026 00:30,Web,Windows Server,50.01,70.26,57.69,56.98,1176.1,808.55,22.7,312.82,557,5786,10,271,1047.88,53.25,Sunday,0,0
SRV-080,04-01-2026 01:00,File,Windows Server,43.47,46.73,43.08,54.54,1009.21,732.71,23.43,302.16,444,4999,5,233,724.02,51.04,Sunday,1,0
SRV-071,04-01-2026 01:00,Web,Linux,66.43,55.2,55.89,42.73,1059.46,889.44,15.66,259.83,368,5859,6,226,1014.87,58.28,Sunday,1,0
SRV-070,04-01-2026 01:30,Database,Windows Server,84.25,51.23,50.61,70.02,1216.68,965.61,20.71,370.55,446,6194,12,396,1255.76,61.32,Sunday,1,0
SRV-064,04-01-2026 04:00,File,Linux,59.02,51.5,67.51,59.92,1018.87,673.23,19.31,299.16,738,4976,8,237,1187.36,56.46,Sunday,4,0
SRV-084,04-01-2026 04:30,Web,Linux,74.22,56.53,80.85,42.25,1098.32,723.01,22.71,332.5,375,5906,10,265,1918.84,56.12,Sunday,4,0
SRV-022,04-01-2026 05:30,Database,Linux,62.3,54.93,28.83,54.5,1027.09,904.91,29.51,261.83,389,6140,12,294,510.43,49.38,Sunday,5,0
SRV-067,04-01-2026 05:30,Application,Windows Server,84.25,66.43,42.9,51.32,987.8,876.75,29.71,324.77,752,5737,15,306,457.71,53.19,Sunday,5,0
SRV-001,04-01-2026 07:00,File,Windows Server,59.28,62.61,56.66,29.94,995.46,719.79,18.23,219.92,196,4926,5,331,1344.46,50.56,Sunday,7,0
SRV-085,04-01-2026 09:30,Web,Windows Server,55.16,66.58,46.58,67.54,1549.76,1272.25,15.25,264.79,736,8226,7,224,565.52,53.99,Sunday,9,0
SRV-014,04-01-2026 11:00,File,Linux,78.15,64.22,71.59,59.54,1228.89,957.48,29.1,322.77,695,6448,14,287,1231.17,59.63,Sunday,11,0
SRV-085,04-01-2026 12:00,Web,Windows Server,74.5,67.56,46.09,65.63,1501.33,1237.88,22.96,330.35,798,7927,14,330,782.38,54.58,Sunday,12,0
SRV-085,04-01-2026 12:00,Web,Windows Server,72.19,68.78,62.11,70.75,1497.31,1163.71,22.38,324.62,646,7981,14,230,698.64,54.97,Sunday,12,0
SRV-038,04-01-2026 14:00,Database,Linux,79.45,77.7,71.41,51.87,1709.51,1311.22,28.76,364.58,816,8671,23,317,1170.9,54.35,Sunday,14,0
SRV-064,04-01-2026 14:30,File,Linux,52.96,65.49,46.05,52.62,1315.6,919.35,23.84,305.2,811,6742,4,269,543.98,51.4,Sunday,14,0
SRV-083,04-01-2026 15:30,File,Linux,59.39,52.43,59.58,67.48,1376.92,1052.8,17.77,314.71,428,6824,9,196,778.9,56.37,Sunday,15,0
SRV-037,04-01-2026 16:00,Web,Windows Server,68.09,54.48,46.13,64.65,1638.64,1195.31,12.24,278.86,687,8285,13,296,299.09,56.58,Sunday,16,0
SRV-093,04-01-2026 16:00,Database,Linux,52.32,61.98,55.31,57.26,1781.26,1207.5,29.04,270.54,818,8724,7,266,982.81,51.39,Sunday,16,0
SRV-055,04-01-2026 16:00,Application,Linux,60.12,63.83,41.88,61.94,1540.11,1065.17,21.65,260.94,988,7798,7,230,609.61,58.59,Sunday,16,0
SRV-042,04-01-2026 16:00,File,Linux,59.2,44.86,34.65,34.01,1236.0,1029.49,22.9,221.78,589,6630,7,263,623.12,51.09,Sunday,16,0
SRV-084,04-01-2026 16:30,Web,Linux,45.96,79.3,40.35,91.8,1557.81,1265.57,17.65,285.41,807,8210,11,232,1679.63,56.06,Sunday,16,0
SRV-050,04-01-2026 16:30,Web,Linux,63.33,75.53,64.92,49.67,1648.15,1173.94,25.69,302.16,758,8123,11,262,409.63,59.53,Sunday,16,0
SRV-088,04-01-2026 17:30,Database,Linux,58.48,75.13,49.15,52.61,1780.37,1268.03,26.18,293.38,745,8722,11,273,610.53,52.1,Sunday,17,0
SRV-054,04-01-2026 18:00,Application,Linux,65.41,56.97,38.61,53.76,1635.13,1228.22,27.56,265.06,773,7949,14,186,202.23,50.07,Sunday,18,0
SRV-051,04-01-2026 19:00,Web,Windows Server,66.96,57.74,49.68,44.22,1085.29,853.42,21.97,280.94,556,5798,19,239,665.82,62.9,Sunday,19,0
SRV-018,04-01-2026 22:00,Web,Windows Server,52.05,55.62,49.54,47.44,1087.67,776.71,19.5,218.49,407,5783,4,268,152.8,51.62,Sunday,22,0
SRV-044,04-01-2026 23:00,Database,Linux,60.82,46.05,51.38,49.49,1136.71,801.62,29.56,243.6,582,5990,7,223,845.4,53.29,Sunday,23,0
SRV-100,05-01-2026 01:00,API,Linux,79.85,72.28,70.07,58.32,1599.95,1004.53,28.43,355.13,579,7296,15,249,522.61,56.375,Monday,1,0
SRV-074,05-01-2026 02:00,Web,Windows Server,79.37,79.01,33.96,70.24,1391.06,1056.89,27.32,359.54,483,7024,10,245,1006.33,49.28,Monday,2,0
SRV-024,05-01-2026 02:00,API,Linux,65.02,61.22,55.52,62.75,1421.7,1034.52,21.54,272.48,620,7282,10,247,1217.66,48.28,Monday,2,0
SRV-046,05-01-2026 03:00,File,Linux,53.35,64.75,49.84,58.92,1165.46,872.86,21.25,195.33,553,6026,10,209,520.04,53.81,Monday,3,0
SRV-056,05-01-2026 05:00,File,Windows Server,72.82,56.79,71.23,32.61,1102.86,881.97,24.88,253.25,491,5894,11,300,724.33,60.12,Monday,5,0
SRV-099,05-01-2026 05:00,Web,Linux,55.84,67.12,53.69,64.71,1470.64,1145.11,24.11,296.82,585,7214,8,253,714.92,51.78,Monday,5,0
SRV-099,05-01-2026 05:30,Web,Linux,52.44,65.67,59.37,39.59,1423.42,1064.12,11.93,227.57,430,7006,9,284,836.6,50.17,Monday,5,0
SRV-081,05-01-2026 06:00,Application,Windows Server,62.12,71.34,41.44,58.3,1362.16,1052.57,25.85,291.52,788,6893,15,205,581.68,51.93,Monday,6,0
SRV-052,05-01-2026 07:30,Web,Windows Server,66.22,66.54,52.51,52.95,1310.19,928.13,23.48,298.35,475,7008,8,277,330.85,54.61,Monday,7,0
SRV-023,05-01-2026 09:00,API,Linux,72.91,79.47,56.6,57.2,2160.44,1556.29,36.13,387.22,943,10777,19,262,686.25,56.84,Monday,9,0
SRV-072,05-01-2026 09:00,Database,Linux,80.3,77.01,57.98,78.2,2271.24,1591.93,34.01,393.95,944,11093,12,287,816.3,63.19,Monday,9,0
SRV-014,05-01-2026 10:00,File,Linux,72.33,71.51,67.39,68.66,1698.16,1147.14,17.14,313.87,551,8308,8,316,239.17,52.62,Monday,10,0
SRV-014,05-01-2026 11:30,File,Linux,84.06,52.12,58.8,69.59,1589.97,1146.6,18.7,275.81,732,8258,11,263,546.27,60.48,Monday,11,0
SRV-050,05-01-2026 11:30,Web,Linux,72.48,72.21,28.66,84.34,2045.86,1454.83,30.82,306.61,887,10398,11,289,1553.92,52.21,Monday,11,0
SRV-029,05-01-2026 11:30,Web,Linux,92.49,82.24,44.42,96.14,1995.17,1454.28,27.33,368.58,867,10406,14,360,192.12,60.96,Monday,11,0
SRV-044,05-01-2026 12:00,Database,Linux,91.72,65.73,44.81,99.0,2372.71,1532.77,31.79,360.55,783,10941,8,290,329.52,66.29,Monday,12,0
SRV-018,05-01-2026 14:30,Web,Windows Server,80.64,62.42,61.06,65.41,1958.28,1453.35,22.18,401.84,967,10199,12,248,992.46,56.9,Monday,14,0
SRV-064,05-01-2026 14:30,File,Linux,99.0,87.92,46.18,56.32,1704.28,1254.2,28.87,365.68,683,8315,13,331,535.03,66.04,Monday,14,0
SRV-025,05-01-2026 15:00,File,Linux,64.8,49.7,68.31,63.18,1581.27,1211.45,28.11,221.89,748,8260,5,232,682.36,57.36,Monday,15,0
SRV-100,05-01-2026 15:30,API,Linux,78.07,56.25,35.62,86.08,2099.46,1575.09,28.6,363.88,874,10866,12,268,2282.32,64.51,Monday,15,0
SRV-059,05-01-2026 17:00,Web,Windows Server,95.71,82.32,71.55,81.25,2085.71,1528.27,23.69,374.13,1172,10336,12,293,1359.1,62.55,Monday,17,0
SRV-097,05-01-2026 17:30,Database,Linux,81.84,75.72,48.58,95.22,2203.15,1599.59,29.88,376.12,1062,11032,11,297,339.86,57.8,Monday,17,0
SRV-057,05-01-2026 17:30,Database,Linux,90.74,79.89,51.52,90.0,2083.4,1664.81,39.18,315.9,1106,10983,13,402,698.01,69.62,Monday,17,0
SRV-040,05-01-2026 17:30,Application,Linux,84.84,59.28,53.68,85.26,1965.52,1481.82,25.42,336.68,868,9875,11,298,817.03,63.18,Monday,17,0
SRV-071,05-01-2026 19:00,Web,Linux,73.5,78.11,57.12,44.65,1382.73,1041.28,24.98,352.14,524,7040,9,276,655.66,59.39,Monday,19,0
SRV-092,05-01-2026 20:00,Application,Linux,61.92,52.38,47.99,48.43,1436.2,1039.46,12.42,289.49,660,6837,9,239,354.68,53.48,Monday,20,0
SRV-090,05-01-2026 20:30,Application,Linux,58.77,49.65,35.79,52.45,1274.38,979.11,30.64,284.82,856,7020,7,260,1647.55,49.24,Monday,20,0
SRV-035,05-01-2026 21:30,Database,Linux,69.41,64.05,69.4,55.62,1518.64,1134.52,28.83,331.11,830,7550,9,261,580.64,52.98,Monday,21,0
SRV-043,05-01-2026 21:30,Application,Windows Server,74.9,60.41,59.0,50.91,1208.3,992.62,7.26,300.64,572,6710,8,316,285.48,59.26,Monday,21,0
SRV-053,05-01-2026 22:30,File,Linux,64.87,66.98,65.22,21.83,1154.31,871.18,19.19,325.77,691,5976,11,272,396.32,51.74,Monday,22,0
SRV-038,06-01-2026 02:30,Database,Linux,69.0,75.11,78.14,49.18,1337.56,1079.0,17.74,313.65,564,7505,14,309,939.42,57.55,Tuesday,2,0
SRV-037,06-01-2026 02:30,Web,Windows Server,66.81,55.89,43.46,48.29,1354.15,1029.26,16.87,310.91,714,7091,7,236,447.2,54.76,Tuesday,2,0
SRV-010,06-01-2026 03:00,Database,Windows Server,67.83,44.88,45.98,41.79,1434.92,1134.15,22.53,301.77,789,7466,6,273,1034.56,57.94,Tuesday,3,0
SRV-066,06-01-2026 04:30,Application,Linux,63.78,44.02,34.79,67.22,1319.58,997.57,23.49,258.15,835,6683,6,247,1296.98,58.2,Tuesday,4,0
SRV-015,06-01-2026 05:00,Database,Linux,65.28,71.62,43.06,60.83,1513.49,1094.12,36.34,299.05,619,7493,8,266,725.72,54.71,Tuesday,5,0
SRV-011,06-01-2026 06:00,Database,Linux,74.38,44.34,51.52,64.4,1433.02,1098.98,28.06,293.93,569,7292,5,290,926.98,63.21,Tuesday,6,0
SRV-002,06-01-2026 07:30,Database,Windows Server,61.98,52.03,71.46,58.35,1461.55,1058.21,24.5,290.7,826,7413,10,233,439.89,48.49,Tuesday,7,0
SRV-050,06-01-2026 08:30,Web,Linux,53.38,64.04,80.07,65.31,1352.83,1023.51,31.27,293.14,624,7062,11,170,615.41,49.44,Tuesday,8,0
SRV-079,06-01-2026 08:30,Application,Windows Server,80.1,63.01,66.17,53.44,1235.87,1019.68,37.54,319.65,448,6873,11,348,497.79,55.93,Tuesday,8,0
SRV-003,06-01-2026 09:00,API,Linux,72.02,56.75,35.79,99.0,2140.38,1637.89,20.91,297.61,983,10785,6,240,667.85,54.07,Tuesday,9,0
SRV-044,06-01-2026 09:30,Database,Linux,86.08,84.82,72.59,81.22,2227.0,1626.74,30.03,325.42,1010,11033,12,278,908.13,65.05,Tuesday,9,0
SRV-013,06-01-2026 10:00,Application,Linux,58.3,72.76,83.96,61.87,1952.19,1384.11,31.06,297.75,927,9990,9,214,1226.82,50.18,Tuesday,10,0
SRV-030,06-01-2026 10:30,Application,Linux,82.57,90.53,67.1,68.57,1867.64,1481.75,29.63,362.7,868,9866,12,275,1020.57,54.97,Tuesday,10,0
SRV-079,06-01-2026 11:00,Application,Windows Server,52.09,67.04,45.06,71.87,2020.26,1439.43,13.78,204.12,813,10017,8,232,367.98,51.85,Tuesday,11,0
SRV-033,06-01-2026 12:00,Database,Linux,75.21,78.74,48.11,85.44,2152.38,1723.74,26.08,401.1,1054,11106,9,200,630.32,63.04,Tuesday,12,0
SRV-015,06-01-2026 12:00,Database,Linux,89.11,64.49,58.05,98.63,2144.95,1594.33,28.01,345.84,941,11132,13,341,298.38,73.04,Tuesday,12,0
SRV-074,06-01-2026 12:00,Web,Windows Server,82.15,66.32,66.69,75.07,2107.19,1504.68,38.47,325.12,853,10400,10,291,677.94,56.95,Tuesday,12,0
SRV-029,06-01-2026 13:30,Web,Linux,92.86,65.93,62.72,75.32,1965.1,1523.71,40.92,310.36,983,10158,19,362,549.55,61.66,Tuesday,13,0
SRV-079,06-01-2026 15:00,Application,Windows Server,92.51,78.58,55.48,82.93,1967.86,1416.82,22.67,328.77,1192,9934,14,342,700.63,63.41,Tuesday,15,0
